Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy,Epoch Duration,Test Loss,Test Accuracy
1,3.765809639971307,3.7375757694244385,0.031946353450789285,0.0391123439667129,534.6950976848602,,
2,3.724269648815723,3.7030294577280682,0.03427881211212462,0.044382801664355064,277.1439800262451,,
3,3.686935008840358,3.6709391276041665,0.03823566162688992,0.04882108183079057,279.9748032093048,,
4,3.653892217798436,3.6403153419494627,0.041276188096130616,0.05048543689320388,271.898686170578,,
5,3.623456653128279,3.6122997283935545,0.045524594943562834,0.05464632454923717,269.0687201023102,,
6,2.8594034022473274,2.3038311560948688,0.2609021616893665,0.4124826629680999,269.1254632472992,,
7,1.9225845768096599,1.7052179098129272,0.5108917489274856,0.574757281553398,302.0295422077179,,
8,1.4201805046264162,1.3223809242248534,0.6527552167937024,0.6837725381414702,277.77882409095764,,
9,1.0804610620153712,1.0776565492153167,0.7510516889499771,0.7503467406380028,280.33294653892517,,
10,0.8351997574593159,0.8793285111586253,0.8231080011662293,0.8055478502080444,279.4274387359619,,
11,0.6595978648104566,0.7416030287742614,0.8709650547711275,0.8471567267683773,263.6286690235138,,
12,0.5297376843208962,0.6393042892217636,0.9057020284060144,0.8723994452149791,259.93691396713257,,
13,0.4412186047498216,0.5786565721035004,0.9315673289183223,0.8887656033287101,259.95359683036804,,
14,0.37717529624066454,0.4993415713310242,0.9471448206922404,0.9098474341192788,262.95522379875183,,
15,0.33158446150891324,0.4706344097852707,0.9582656503811071,0.9148404993065187,260.9936451911926,,
16,0.3021697333835541,0.44391713639100394,0.964763213794827,0.9209431345353676,264.0287504196167,,
17,0.28156483109961167,0.4244687229394913,0.9693448290224499,0.9276005547850208,259.9707758426666,,
18,0.268985612119766,0.41776473621527355,0.9723020533966429,0.9300970873786408,259.2563650608063,,
19,0.2631723893449662,0.41394876639048256,0.9724686575867383,0.9300970873786408,258.58386635780334,,
20,0.26038640008327807,0.41128204166889193,0.9731767253946437,0.930374479889043,259.63605976104736,0.3832959908026236,0.9349772493761925
